鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物)+車位,臺北市信義區松山路421~450號,4.41,住,,,1090229,土地1建物1車位1,地下二層，地下三層，地下四層，地下五層,十七層,辦公商業大樓,見使用執照,鋼骨鋼筋混凝土造,0820514,73.42,0,1,0,有,有,10400000,141651,坡道平面,0.0,2500000,含增建或未登記建物。;,RPRPMLMLMHPFFDA18CA
松山區,房地(土地+建物),臺北市松山區復興北路391~420號,30.05,商,,,1090224,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0700910,131.8,3,2,2,有,無,22500000,170713,,0.0,0,含增建或未登記建物。;,RPTNMLNLMHPFFDA28CA
南港區,車位,臺北市南港區忠孝東路六段1~30號,3.18,商,,,1090407,土地0建物0車位1,地下二層,十七層,其他,停車空間,見其他登記事項,0931216,46.32,0,0,0,有,有,1980000,,坡道平面,0.0,1980000,,RPWNMLNLMHPFFDA58CA
松山區,房地(土地+建物),臺北市松山區八德路四段829巷1~30號,52.0,商,,,1090406,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0751027,74.98,4,2,2,有,無,50336000,671326,,0.0,0,含增建或未登記建物。;,RPOQMLNLMHPFFDA08CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段372巷27弄31~60號,33.04,住,,,1090322,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,161.98,3,2,3,有,有,28000000,172861,,0.0,0,,RPRNMLRLMHPFFDA48CA
松山區,車位,臺北市松山區南京東路五段211~240號,0.42,其他,,,1090409,土地0建物0車位1,一層,十八層,其他,見其他登記事項,見其他登記事項,0980331,24.91,0,0,0,有,有,2550000,,坡道平面,24.82,2550000,,RPUNMLOLMHPFFDA48CA
松山區,房地(土地+建物),臺北市松山區八德路四段106巷4弄1~30號,32.33,住,,,1090318,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,88.52,3,2,2,有,無,22475000,253897,,0.0,0,,RPXPMLSLMHPFFDA76CA
松山區,房地(土地+建物),臺北市松山區八德路三段181~210號,2.61,商,,,1090318,土地3建物1車位0,三層,十一層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0950418,33.75,1,1,1,有,有,12000000,355556,,0.0,0,,RPOQMLSLMHPFFDA58CA
信義區,房地(土地+建物),臺北市信義區松平路121~150號,59.97,住,,,1090311,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850402,244.87,3,2,2,有,有,68700000,280557,,0.0,0,,RPPOMLLKNHPFFDA77CA
信義區,車位,臺北市信義區松平路121~150號,0.51,住,,,1090311,土地0建物0車位1,地下三層,二十一層,其他,見其他登記事項,鋼筋混凝土造,0850402,31.22,0,0,0,有,有,3500000,,坡道平面,0.0,3500000,單獨車位交易。;,RPTNMLMLNHPFFDA28CA
