鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
三峽區,房地(土地+建物),新北市三峽區大觀路331~360號,13.6,住,,,1090327,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950127.0,103.16,3,0,3,有,有,8100000,78519.0,,0.0,0,隔間套房,RPWQMLRLMHPFFIF67CA,新北市
中和區,房地(土地+建物),新北市中和區連勝街91~120號,13.33,住,,,1081229,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940819.0,91.6,2,2,1,有,有,12600000,137555.0,,0.0,0,含增建或未登記建物。;,RPSOMLTLMHPFFHF17CA,新北市
中和區,房地(土地+建物),新北市中和區中山路二段271~300號,9.24,住,,,1090317,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820814.0,81.7,2,1,1,有,有,9390000,114933.0,,0.0,0,含增建或未登記建物。;,RPPNMLTLMHPFFHF76CA,新北市
三重區,房地(土地+建物)+車位,新北市三重區文化南路31~60號,16.74,商,,,1090120,土地2建物1車位1,十四層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030711.0,154.06,3,2,2,有,有,22700000,147345.0,升降機械,11.01,0,含增建或未登記建物。;,RPSOMLNJOHPFFGF09CA,新北市
三重區,房地(土地+建物),新北市三重區中正南路8巷1~30號,5.98,商,,,1090322,土地4建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020122.0,53.71000000000001,2,1,1,有,有,8680000,161609.0,,0.0,0,,RPROMLPKNHPFFGF56CA,新北市
三重區,房地(土地+建物),新北市三重區中華路31~60號,8.97,住,,,1090321,土地4建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850802.0,116.49,3,2,2,有,有,13100000,112456.0,,0.0,0,,RPWPMLPJNHPFFGF07CA,新北市
三重區,房地(土地+建物)+車位,新北市三重區重安街31~60號,13.06,住,,,1090325,土地2建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,831224.0,135.9,3,2,2,有,有,12360000,90949.0,坡道平面,0.0,0,,RPPQMLTLMHPFFGF96CA,新北市
三重區,房地(土地+建物)+車位,新北市三重區新生街1~30號,15.23,住,,,1090228,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991103.0,163.53,3,2,2,有,有,16050000,98147.0,坡道機械,27.31,0,,RPOQMLRLMHPFFGF66CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,16.43,住,,,1090314,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306.0,115.83,2,1,1,有,有,7680000,74420.0,坡道平面,30.1,1300000,,RPVNMLSJNHPFFEF86CA,新北市
淡水區,房地(土地+建物),新北市淡水區中正路二段31~60號,8.16,商,,,1081227,土地2建物1車位0,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026.0,103.85,1,2,1,有,有,11250000,108329.0,,0.0,0,,RPVRMLOKNHPFFEF96CA,新北市
