鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路1~30號,15.86,住,,,1090330,土地1建物1車位1,九層,二十三層,辦公商業大樓,見其它登記事項,見其它登記事項,1030924,200.39,0,0,0,無,有,13610000,67918,坡道平面,39.36,0,,RPUOMLLKNHPFFEE78CA
左營區,房地(土地+建物),高雄市左營區榮總路522巷1~30號,14.77,住,,,1090408,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800527,86.11,2,1,1,有,有,2800000,32517,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLSJNHPFFEE76CA
楠梓區,房地(土地+建物),高雄市楠梓區德賢路267巷1~30號,15.7,住,,,1090215,土地1建物1車位0,一層，二層,十九層,店面(店鋪),住商用,鋼筋混凝土造,0850112,182.85000000000002,0,0,0,無,有,11000000,60159,,0.0,0,,RPROMLOJNHPFFEE68CA
楠梓區,房地(土地+建物),高雄市楠梓區大學五十六街31~60號,15.39,住,,,1090412,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),見其它登記事項,見其它登記事項,1080426,79.31,2,2,1,有,有,3680000,46400,,0.0,0,,RPQNMLPJNHPFFEE58CA
左營區,房地(土地+建物),高雄市左營區大中二路541~570號,4.8,住,,,1090410,土地1建物1車位0,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850424,61.51,2,1,1,有,無,3550000,57714,,0.0,0,,RPPOMLPKNHPFFEE68CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區加昌路769巷1~30號,10.13,住,,,1090330,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,127.72,3,2,2,有,有,5100000,39931,坡道機械,0.0,0,,RPQOMLNKNHPFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區文川路181~210號,13.23,商,,,1090328,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991228,158.85,3,2,2,有,有,10000000,62952,坡道平面,14.07,0,,RPTNMLPKNHPFFEE98CA
楠梓區,房地(土地+建物),高雄市楠梓區德民路361~390號,18.55,住,,,1090401,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790423,185.38,5,2,2,有,有,4070000,21955,,0.0,0,,RPUOMLLJNHPFFEE68CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街330巷1~30號,27.39,住,,,1090308,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080730,173.31,3,2,2,有,有,10660000,61331,坡道平面,25.26,1580000,,RPPNMLMJNHPFFEE18CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街330巷1~30號,29.72,住,,,1090227,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080730,187.16000000000003,3,2,2,有,有,11960000,64207,坡道平面,22.38,1380000,,RPQNMLMJNHPFFEE28CA
左營區,房地(土地+建物)+車位,高雄市左營區重立路61~90號,21.42,住,,,1090321,土地1建物1車位2,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940808,148.4,3,2,2,有,有,8300000,52051,坡道機械,19.68,1600000,含增建或未登記建物。,RPPNMLNJNHPFFEE28CA
三民區,房地(土地+建物),高雄市三民區河北二路61~90號,2.56,商,,,1090418,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),,鋼筋混凝土造,0711015,27.150000000000002,1,1,1,有,有,1190000,43831,,0.0,0,,RPUNMLMLNHPFFDE78CA
