鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
大里區,房地(土地+建物),臺中市大里區亞洲街147巷1~30號,21.3,住,,,1090308,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,681012.0,73.08,3,2,2,有,無,3600000,49261.0,,0.0,0,,RPXQMLMLNHPFFIB96CA,臺中市
太平區,土地,愛平段271~300地號,104.0,其他,,,1090401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,7692.0,,0.0,0,包含公共設施保留地之交易。;,RPUOMLSLMHPFFJB07CA,臺中市
太平區,房地(土地+建物),臺中市太平區建和路一段22巷1~30號,83.71,住,,,1090323,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1011106.0,254.94,5,2,3,有,有,17300000,67859.0,,0.0,0,含增建或未登記建物。;,RPQOMLTLMHPFFJB76CA,臺中市
太平區,房地(土地+建物),臺中市太平區育德路241~270號,21.06,住,,,1090328,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,771210.0,75.08,3,2,1,有,無,2700000,35962.0,,0.0,0,,RPSOMLTLMHPFFJB96CA,臺中市
太平區,房地(土地+建物),臺中市太平區育仁路213巷1~30號,63.79,住,,,1090227,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,940829.0,193.45,3,3,3,有,無,11100000,57379.0,,0.0,0,含增建或未登記建物。;包含公共設施保留地之交易。;,RPPNMLRLMHPFFJB98CA,臺中市
太平區,房地(土地+建物),臺中市太平區樹孝路321巷1~30號,13.28,住,,,1090323,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,810812.0,89.58,3,2,2,有,有,4400000,49118.0,,0.0,0,,RPVNMLSKNHPFFJB07CA,臺中市
太平區,房地(土地+建物)+車位,臺中市太平區中山路四段181~210號,14.86,住,,,1090319,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,821216.0,112.26,2,2,2,有,有,5300000,47212.0,坡道機械,0.0,0,,RPWOMLTKNHPFFJB37CA,臺中市
太平區,房地(土地+建物),臺中市太平區中山路三段6巷1~30號,76.0,住,,,1090331,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,840505.0,187.48,4,3,3,有,無,9000000,48005.0,,0.0,0,,RPUOMLMKNHPFFJB09CA,臺中市
太平區,房地(土地+建物)+車位,臺中市太平區立文街151~180號,20.63,商,,,1090402,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060330.0,214.94,4,2,2,有,無,14180000,65972.0,坡道平面,39.67,0,,RPPOMLMKNHPFFJB58CA,臺中市
太平區,房地(土地+建物),臺中市太平區東村路91~120號,129.19,住,,,1090310,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,690925.0,183.36,5,2,4,有,無,11580000,63154.0,,0.0,0,含增建或未登記建物。;,RPUPMLTKNHPFFJB27CA,臺中市
太平區,房地(土地+建物),臺中市太平區中山路一段322巷61之3弄1~30號,81.91,,鄉村區,乙種建築用地,1090311,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,830902.0,186.48,4,3,3,有,無,8000000,42900.0,,0.0,0,含增建或未登記建物。;,RPVPMLTKNHPFFJB37CA,臺中市
龍井區,房地(土地+建物),臺中市龍井區沙田路五段30巷50弄1~30號,78.0,住,,,1090415,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070910.0,165.82,4,1,3,有,無,8700000,52467.0,,0.0,0,,RPPNMLQLMHPFFKB98CA,臺中市
龍井區,房地(土地+建物)+車位,臺中市龍井區新仁路22巷61~90號,33.83,,鄉村區,乙種建築用地,1090302,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080402.0,165.0,3,2,2,有,有,8130000,54334.0,坡道平面,32.67,940000,,RPUNMLRLMHPFFKB96CA,臺中市
龍井區,房地(土地+建物),臺中市龍井區臨港東路一段155巷171弄61~90號,125.69,住,,,1090410,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081104.0,316.87,4,4,6,有,無,13800000,43551.0,,0.0,0,包含公共設施保留地之交易。;,RPRNMLSLMHPFFKB76CA,臺中市
龍井區,土地,龍目井段龍目井小段31~60地號,570.21,住,,,1090229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11593192,20331.0,,0.0,0,增值稅由買方支付,RPTOMLTKNHPFFKB17CA,臺中市
龍井區,土地,龍目井段龍目井小段31~60地號,142.79,住,,,1090229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2375725,16638.0,,0.0,0,增值稅由買方支付,RPUOMLTKNHPFFKB27CA,臺中市
龍井區,房地(土地+建物),臺中市龍井區東海街104巷1~30號,37.66,住,,,1090308,土地1建物1車位0,四層，電梯樓梯間,四層,公寓(5樓含以下無電梯),住家用,加強磚造,691227.0,83.4,9,0,9,有,無,5700000,68345.0,,0.0,0,含增建或未登記建物。;,RPWNMLTKNHPFFKB37CA,臺中市
